source,interaction,target,weight,timepoint,model
GSK3B,1,SMAD3,100,T8,inverse
GTF2B,1,FOXF2,100,T8,inverse
KDM5B,1,FOXG1,0,T8,inverse
LATS1,1,FOXL2,100,T8,inverse
LEF1,1,ALX4,100,T8,inverse
LRRK2,1,AKT1,100,T8,inverse
MAPK14,1,FOXC1,100,T8,inverse
MAX,1,MGA,100,T8,inverse
NEK6,1,FOXJ2,0,T8,inverse
NOTCH1,1,SMAD1,0,T8,inverse
PARP1,-1,KDM5B,0,T8,inverse
PRKACA,-1,GSK3B,100,T8,inverse
PRKACA,-1,LRRK2,100,T8,inverse
PRKACA,1,CREB1,100,T8,inverse
PRKACA,1,CTNNB1,100,T8,inverse
PRKACA,1,E2F1,0,T8,inverse
PRKACA,1,FYN,100,T8,inverse
PRKACA,1,LATS1,100,T8,inverse
PRKACA,1,PARP1,0,T8,inverse
PRKACA,1,SGK1,0,T8,inverse
PRKACA,1,SRC,100,T8,inverse
Perturbation,-1,PRKACA,100,T8,inverse
Perturbation,1,PRKACA,0,T8,inverse
RB1,-1,YY1,0,T8,inverse
SGK1,-1,FOXO1,0,T8,inverse
SGK1,-1,FOXO3,0,T8,inverse
SGK1,1,SP1,0,T8,inverse
SIRT1,-1,FOXO3,0,T8,inverse
SIRT1,1,FOXO1,100,T8,inverse
SIRT1,1,FOXO4,100,T8,inverse
SMAD2,1,SP1,0,T8,inverse
SMAD3,1,FOXO1,0,T8,inverse
SMAD3,1,LEF1,100,T8,inverse
SMAD3,1,MAX,100,T8,inverse
SMAD6,1,SMAD1,0,T8,inverse
SMAD6,1,SMURF1,100,T8,inverse
SMARCA4,1,GADD45A,0,T8,inverse
SMURF1,-1,NFIC,100,T8,inverse
SP1,1,TBX21,0,T8,inverse
SRC,-1,YY1,100,T8,inverse
TCL1A,1,AKT1,0,T8,inverse
TCL1A,1,AKT3,0,T8,inverse
TRAF6,1,AKT3,0,T8,inverse
YY1,-1,NOTCH1,0,T8,inverse
AKT1,1,SMURF1,0,T24,CREB1
CAPN3,1,GSK3B,0,T24,CREB1
CDK6,-1,RB1,100,T24,CREB1
CREB1,1,CDK6,100,T24,CREB1
CREB1,1,MYC,0,T24,CREB1
CREB1,1,SMAD3,100,T24,CREB1
CREB1,1,SMAD6,100,T24,CREB1
CREB1,1,SMARCA4,100,T24,CREB1
FOXA1,1,NFIB,100,T24,CREB1
FOXA1,1,NFIX,0,T24,CREB1
FOXG1,-1,FOXO1,0,T24,CREB1
GADD45A,-1,MAPK14,100,T24,CREB1
GSK3B,-1,GCM1,0,T24,CREB1
GSK3B,1,SMAD1,0,T24,CREB1
GSK3B,1,SMAD3,0,T24,CREB1
KDM5B,1,FOXG1,0,T24,CREB1
LRRK2,1,AKT1,0,T24,CREB1
MAPK14,-1,NFATC1,100,T24,CREB1
MYC,1,CAPN3,0,T24,CREB1
NFIB,-1,NFIC,100,T24,CREB1
NFIB,-1,NFIX,100,T24,CREB1
NOTCH1,1,SMAD1,0,T24,CREB1
PARP1,-1,KDM5B,0,T24,CREB1
PRKACA,-1,GSK3B,0,T24,CREB1
PRKACA,-1,LRRK2,0,T24,CREB1
PRKACA,-1,NFATC1,0,T24,CREB1
PRKACA,1,PARP1,0,T24,CREB1
PRKACA,1,SGK1,0,T24,CREB1
PRKACA,1,SRC,0,T24,CREB1
RB1,-1,YY1,100,T24,CREB1
SGK1,-1,FOXO1,0,T24,CREB1
SMAD3,-1,FOXA1,100,T24,CREB1
SMAD3,1,FOXO1,0,T24,CREB1
SMAD3,1,MAX,100,T24,CREB1
SMAD6,1,SMAD1,100,T24,CREB1
SMAD6,1,SMURF1,0,T24,CREB1
SMARCA4,1,GADD45A,100,T24,CREB1
SMURF1,-1,NFIC,0,T24,CREB1
SRC,-1,YY1,0,T24,CREB1
TLX1,-1,RB1,0,T24,CREB1
YY1,-1,NOTCH1,0,T24,CREB1
AKT1,1,SMURF1,0,T72,CREB1
AKT3,1,TBX3,100,T72,CREB1
CDK1,1,UBE2I,0,T72,CREB1
CDK6,-1,RB1,100,T72,CREB1
CREB1,1,CDK6,100,T72,CREB1
CREB1,1,CREBBP,100,T72,CREB1
CREB1,1,SMAD3,100,T72,CREB1
CREB1,1,SMAD6,0,T72,CREB1
CREB1,1,TCL1A,100,T72,CREB1
CREBBP,1,RELA,0,T72,CREB1
CREBBP,1,SMAD2,100,T72,CREB1
CTBP1,1,BHLHE41,0,T72,CREB1
GSK3B,-1,CDK1,0,T72,CREB1
GSK3B,-1,TRAF6,0,T72,CREB1
GSK3B,1,SMAD3,0,T72,CREB1
LRRK2,1,AKT1,0,T72,CREB1
NCOR2,1,BHLHE41,0,T72,CREB1
PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3,-1,CTBP1,0,T72,CREB1
PRKACA,-1,GSK3B,0,T72,CREB1
PRKACA,-1,LRRK2,0,T72,CREB1
PRKACA,-1,PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3,0,T72,CREB1
PRKACA,1,SGK1,0,T72,CREB1
PRKACA,1,SRC,0,T72,CREB1
RB1,-1,YY1,100,T72,CREB1
RELA,-1,NCOR2,0,T72,CREB1
SGK1,1,SP1,0,T72,CREB1
SMAD2,1,SP1,100,T72,CREB1
SMAD3,1,MAX,100,T72,CREB1
SMAD6,1,SMURF1,0,T72,CREB1
SMURF1,-1,NFIC,0,T72,CREB1
SP1,1,TBX21,100,T72,CREB1
SRC,-1,YY1,0,T72,CREB1
TCL1A,1,AKT3,100,T72,CREB1
TRAF6,1,AKT3,0,T72,CREB1
UBE2I,-1,BHLHE40,0,T72,CREB1
AKT1,-1,FOXO6,100,T8,CREB1
AKT1,1,SMURF1,0,T8,CREB1
AKT3,1,TBX3,100,T8,CREB1
ATM,1,SMAD1,0,T8,CREB1
CDK1,1,FOXK2,100,T8,CREB1
CDK5,1,FOXC2,0,T8,CREB1
CDK6,-1,RB1,100,T8,CREB1
CHEK1,-1,NEK6,0,T8,CREB1
CREB1,1,CDK6,100,T8,CREB1
CREB1,1,CREBBP,100,T8,CREB1
CREB1,1,CTNNB1,0,T8,CREB1
CREB1,1,FOXO4,0,T8,CREB1
CREB1,1,GTF2B,0,T8,CREB1
CREB1,1,SMAD3,100,T8,CREB1
CREB1,1,SMAD6,100,T8,CREB1
CREB1,1,SMARCA4,100,T8,CREB1
CREB1,1,TCL1A,100,T8,CREB1
CREBBP,1,SMAD2,100,T8,CREB1
CTNNB1,1,FOXO3,0,T8,CREB1
CTNNB1,1,FOXO4,0,T8,CREB1
