timepoint	gene	log2FC_light_vs_dark	padj	significant	neglog10_padj
T0	ASCL1	0.369171361147303	5.01218200643252e-09	TRUE	8.29997316693684
T8	ASCL1	-0.473703343607687	1.53647218732791e-11	TRUE	10.8134752967804
T24	ASCL1	0.359446686700353	3.75873710064813e-06	TRUE	5.42495804931429
T72	ASCL1	0.560830179854078	8.23933020856408e-13	TRUE	12.0841080915247
T0	INSM1	0.343810461202597	8.90836722011848e-09	TRUE	8.05020188881088
T8	INSM1	-0.251941588109855	5.17152944333803e-05	TRUE	4.28638099838151
T24	INSM1	0.901594896073716	7.2947960495677e-37	TRUE	36.1369868457562
T72	INSM1	1.17750932802646	4.90132653878552e-58	TRUE	57.3096863627254
T0	NEUROG2	0.573983324069175	0.00165438240560474	TRUE	2.78136409729348
T8	NEUROG2	-0.00235245811424464	0.989348147164	FALSE	
T24	NEUROG2	1.0293195498689	0.190144218289422	FALSE	
T72	NEUROG2	2.3676493818581	0.00464396230186647	TRUE	2.33311131437658
T0	NEUROG3	-1.33533843801688	6.63490457068837e-09	TRUE	8.17816531917807
T8	NEUROG3	0.292271278941506	0.0687537296671836	FALSE	
T24	NEUROG3	1.07851778104562	0.00234555053052878	TRUE	2.62975520654823
T72	NEUROG3	2.13138420870189	1.82143506200309e-07	TRUE	6.73958630765921
T0	NEUROD1	-0.346322166367105	0.355095817273277	FALSE	
T8	NEUROD1	0.100226074309191	0.753390391459039	FALSE	
T24	NEUROD1	3.81052627497989	0.000790078950274875	TRUE	3.10232950876585
T72	NEUROD1	1.81383471872974	0.203602734483449	FALSE	
T0	DCX	-0.185912387264903	0.310642453669019	FALSE	
T8	DCX	-0.709926663321095	9.69123298504296e-09	TRUE	8.01362096551525
T24	DCX	0.607694283830557	1.25970954475788e-05	TRUE	4.89972958000179
T72	DCX	0.745904021678444	8.00572518073322e-08	TRUE	7.09659932236726
T0	DLX1	0.189146146857984	0.697754936075953	FALSE	
T8	DLX1	-0.285226913896478	0.426110161433081	FALSE	
T24	DLX1	0.579927779866602	0.001386989460299	TRUE	2.85792683910795
T72	DLX1	0.802697954760476	5.65203985735413e-06	TRUE	5.24779478423184
T0	DLX2	0.343657922672452	0.598179772461226	FALSE	
T8	DLX2	-0.385149443339164	0.387400944779134	FALSE	
T24	DLX2	0.401096512437516	0.000446182554564626	TRUE	3.35048741434002
T72	DLX2	0.463611176269197	5.6034669109521e-05	TRUE	4.2515431882764
T0	SOX4	0.133719741386888	0.32735971637408	FALSE	
T8	SOX4	-0.261154346765327	0.00821762128239866	TRUE	2.08525387752467
T24	SOX4	0.638747457656448	1.04038980511529e-12	TRUE	11.9828039121508
T72	SOX4	0.564958453729456	4.62370769382792e-10	TRUE	9.33500962938212
T0	SOX11	0.0668992260041469	0.731840589467085	FALSE	
T8	SOX11	-0.572866798203951	1.57432040970168e-07	TRUE	6.8029068742615
T24	SOX11	0.25487387423569	0.0366500328524254	TRUE	1.43592563172897
T72	SOX11	0.325910049769379	0.00536392598436671	TRUE	2.270517223513
