source,interaction,target
SRC,-1,NFKBIA
TBK1,1,CHUK
MAP3K3,1,CHUK
RPS6KA5,1,RELA
CHUK,-1,NFKBIB
PLK1,1,STAG2
PLK1,1,RAD21
WAPL,-1,RAD21
GRB2,1,SOS1
FANCC,1,BLM
SRC,1,CHUK
CHUK,1,RELA
CHUK,1,H3-4
AKT2,1,CHUK
TNFAIP3,-1,RIPK1
PRKCZ,1,RELA
MAP3K14,1,CHUK
PRKACA,1,RELA
TBK1,1,RELA
HMGN1,1,ATM
KAT2B,1,EP300
E2F1,1,DTL
KAT2B,1,CREBBP
PARP1,-1,KDM5B
HDAC1,-1,TP53
SIRT1,1,XRCC6
ERCC6,1,H4C6
PTK2,1,BCAR1
AURKA,1,BRCA1
ATM,1,ATF2
EP300,1,DDX17
MTA1,-1,ESR1
MTA1,-1,BRCA1
NR3C1,1,NR4A3
RPS6KA4,1,RELA
ACTL6A,1,ATM
PDPK1,1,AKT1
SUMO1,-1,PARP1
CDK1,-1,TP53BP1
NR4A3,1,NR3C1
UBE2I,1,TRIM28
PPP1CA,1,TRIM28
EP300,1,TDG
ATM,1,EP300
EP300,1,DDX5
EP300,1,H2AX
EP300,1,H4C6
EP300,1,PARP1
CSNK1A1,-1,LEF1
TDG,1,APEX1
CSNK1A1,-1,PHLPP1
CSNK1A1,-1,IFNAR1
CSNK1A1,1,AXIN1
TWIST1,1,VEGFA
TWIST1,1,MDM2
ZBTB16,1,MYC
NR4A1,1,NR2F1
FBXO31,-1,CCND1
PRKDC,1,HNRNPU
CBL,-1,LYN
CBLB,-1,SYK
PRKCB,1,CARD11
ATRIP,1,BRCA1
NR4A1,1,NR4A2
CASP3,-1,AKT1
NCOR2,-1,PPARG
TGFBR1_TGFBR2,1,RHOA
NCOR1,-1,PPARG
PPARG,1,SORBS1
SIRT1,1,NCOR2
SIRT1,1,NCOR1
ARNT_HIF1A,1,ERCC6
FBXW7,-1,NOTCH1
GSK3B,-1,NOTCH2
NLK,-1,LEF1
SMAD3,1,FOXO1
PPP2CA,1,AXIN1
SYK,-1,LCK
MAML1,1,RBPJ
NCOR1,-1,RBPJ
SYK,1,CBL
ESR1,-1,FOXO1
MAPKAPK2,1,CREB1
PGR,1,FOXO1
SYK,1,PLCG1
LYN,1,NEDD9
BTK,1,GTF2I
PRKCA,1,DVL2
LYN,1,BCAR1
PRKCB,1,DVL2
FOXG1,-1,FOXO1
PRKCQ,1,CARD11
PTK2B,1,STAP1
MYC,-1,CDKN1A
PRKCB,1,RASGRP3
PRKCB,-1,BTK
MAPK8,1,ATF2
HINFP,1,PRKDC
EP300,1,SMAD2
CEBPB,1,E2F4
PRKCG,1,DVL2
HIPK2,1,NLK
MAP3K7,1,HIPK2
